a	art.一(个)；每一(个)；(同类事物中)任一个
instrumental	a.仪器的;器械的;乐器的;起作用的;有帮助的
insulate	vt.隔离,孤立;使绝缘,使绝热
insult	vt./n.侮辱,凌辱
insurance	n.保险,保险费,保险业
insure	vt.保险,给…保险;保证
intact	a.完整无缺的,未经触动的,未受损伤的
integral	a.构成整体所必需的;完整的
integrate	v.(into,with)(使)成为一体,(使)结合在一起
integrity	n.正直,诚实;完整,完全
intellectual	n.知识分子 a.智力的，理智的，有理解力的
intelligence	n.智力,聪明;理解力;情报,消息,报导
intelligent	a.聪明的,明智的,理智的
intelligible	a.可理解的，明白易懂的，清楚的
intend	vt.想要,打算,企图
intense	a.强烈的,剧烈的;热烈的,热情的
intensity	n.强烈,剧烈;强度
intensive	a.加强的,集中的,深入细致的,精耕细作的
intention	n.意图,意向,目的
interact	v.互相作用,互相影响
intercourse	n.交流,交往,交际,性交
interest	n.(in)兴趣,重要性;利益v.(in)使发生兴趣
interesting	a.有趣的,引人入胜的
interface	n.接合部位，分界面 v.(使)互相联系
interfere	v.(in)干涉,干预;(with)妨碍,打扰
interference	n.(in)干涉,干预;(with)妨碍,打扰
interim	a.中间的,暂时的,临时的 n.过渡时期,暂定
interior	a.内部的,里面的 n.内部,内地
intermediate	a.中间的,居间的;中级的 n.中间体,媒介物
intermittent	a.间歇的,断断续续的
internal	a.内部的,内的;国内的,内政的
international	a.国际的,世界(性)的,跨国的
internet	n.[the～]国际互联网，因特网
interpret	vt.解释,说明;口译
interrupt	v.中断,遮断,阻碍;打断(话),打扰
intersection	n.相交，交叉；道路交叉口，十字路口
interval	n.间隔,间歇;(幕间或工间)休息
intervene	v.(in)干涉,干预;插入,介入
interview	v./n.接见,会见;采访;面试
intimate	a.亲密的,密切的 n.熟友,熟人
intimidate	vt.胁迫，威胁(某人做某事)
into	prep.到...里面，进入；成为(表示变化)
intricate	a.复杂的,错综的,难以理解的
intrigue	n.阴谋v.密谋,私通;激起…的兴趣;诡计取得
intrinsic	a.(指价值、性质)固有的，本质的，内在的
introduce	vt.介绍；引进，传入；提出(议案等)
introduction	n.(to)介绍;传入,引进;导言,导论,绪论
intrude	vi.闯入,侵入vt.把(思想等)强加于人;强挤入
intuition	n.直觉，直观；凭直觉而知的事物
invade	vt.入侵,侵略,侵袭,侵扰
invalid	n.病人,伤残人 a.有病的,伤残的;无效的
invaluable	a.非常宝贵的,无价的
invariably	ad.不变地，永恒地，总是
invasion	n.入侵,侵略,侵犯
invent	v.发明,创造;捏造,虚构
invention	n.发明,创造,发明物
inventory	n.详细目录,存货,财产清册,总量
inverse	a.相反的,倒转的,反转的 n.相反之物 v.倒转
invert	v.倒置,倒转,颠倒
invest	vt.投资,投入(精力、时间等)
investigate	v.调查,调查研究
investment	n.投资,投资额
invisible	a.看不见的,无形的
invitation	n.邀请,招待;请柬
invite	vt.邀请,招待
involve	v.卷入,陷入,连累;包含,含有,涉及
inward	ad.向内,在内 a.向内的,在内的,里面的
iron	n.铁,铁制品,烙铁,熨斗 v.熨(衣),熨平
irony	n.反话, 讽刺, 讽刺之事
irrespective	a.不顾的,不考虑的,无关的
irrigate	vt.灌溉，修水利 vi.进行灌溉
irritate	vt.激怒,恼火,使急躁
island	n.岛，岛屿；(道路上的)交通安全岛
isle	n.小岛(用于诗歌中)
isolate	vt.隔离,孤立
issue	n.问题,争端,发行(物),期号 vt.发行,流出
it	pron.它；[作无人称动词的主语]
item	n.条(款)，项目；一则(新闻)，(戏剧的)节目
its	pron.[it的所有格]它的
itself	pron.(it的反身代词)它自己，它本身
jacket	n.短上衣,茄克衫
jam	n.阻塞,轧住;果酱 v.(使)阻塞,(使)轧住不动
January	n.一月
jar	n.罐坛,广口瓶
jargon	n.行话
jaw	n.颌,颚
jazz	n.爵士乐
jealous	a.(of)妒忌的;猜疑的,警惕的
jeans	n.牛仔裤（又称blue jeans, dungarees等）
jet	n.喷气发动机,喷气式飞机;喷口 v.喷出,喷射
jewel	n.宝石,宝石饰物
jewelry	n.(jewllery)(总称)珠宝
job	n.工作，职位；零活，一件工作；任务，职责
jog	v.慢跑
join	v.参加，加入；联合，连接；和…在一起
joint	n.接合处,接头;关节a.联合的,共同的,连接的
joke	n.笑话,玩笑 v.说笑话,开玩笑
jolly	a.欢乐的,高兴的
journal	n.定期刊物,杂志,日报;日志,日记
journalist	n.记者,新闻工作者
journey	n.旅行,旅程 v.旅行
joy	n.欢乐,喜悦;乐事,乐趣
judge	n.法官;裁判员;鉴定人 vt.审判;评论,裁判
judgement	n.(judgment)审判,判决;判断(力);看法,意见
judicial	a.司法的，法庭的，审判的；明断的，公正的
jug	n.(有柄，小口，可盛水等的)大壶，罐，盂
juice	n.(水果等)汁,液
July	n.七月
jump	v./n.跳跃,跳动,跳过;暴涨,猛增
junction	n.连接,接合,交叉点,枢纽站,接头,中继线
June	n.六月
jungle	n.丛林,生死地带
junior	a./n.年少的/者,三年级的/学生,下级(的)
junk	n.废物，旧货；舢板
jury	n.陪审团;全体评审员
just	ad.正好地；刚才；只不过 a.公正的，公平的
justice	n.公正,公平;审判,司法
justify	v.证明...正当(或有理、正确)，为...辩护
juvenile	n.青少年,少年读物 a.青少年的, 幼稚的
keen	a.锋利的;敏锐的;敏捷的;(on)热心的,渴望的
keep	v.保持,保存,遵守,经营,看守,拘留,维持
kettle	n.水壶
key	n.钥匙；答案；关键；键 a.主要的，关键的
keyboard	n.键盘 vt.用键盘输入(信息)
kick	n./v.踢
kid	n.小孩,儿童 v.戏弄,取笑
kidnap	vt.诱拐；绑架，劫持
kidney	n.肾,肾脏
kill	vt.杀死，消灭；破坏，毁灭；消磨(时间)
kilo	n.(kilogram/kilogramme)千克
kilometre	n.(kilometer) 公里，千米(略作km)
kin	n.家族,亲属,血缘关系 a.亲属关系的,同类的
kind	a.仁慈的，友好的，亲切的，和蔼的 n.种类
kindergarten	n.幼儿园
kindness	n.仁慈,亲切;好意;友好行为
king	n.君主，国王
kingdom	n.王国,领域
kiss	n./v.吻,接吻
kit	n.成套工具,用具包,工具箱
kitchen	n.厨房
kite	n.风筝
knee	n.膝,膝盖
kneel	v.跪,下跪
knife	n.刀,餐刀 v.用刀切,用匕首刺
knit	v.编织,编结;接合,粘合
knob	n.门把,(球形)把手,旋纽
knock	v.敲,敲打,碰撞 n.敲,击
knot	n.(绳)结;(树)节;节(=海里/小时) v.打结
know	vt.知道，了解；认识；识别 vi.知道，了解
knowledge	n.知识,学识;知道,了解
lab	n.(laboratory)实验室
label	n.标签 v.把...称为；用标签于；用标签标明
labor	n.(labour)工作，劳动；劳力 v.劳动，苦干
lace	n.花边;带子,鞋带 v.系带,扎带
lack	n./v.缺乏,不足
lad	n.男孩,小伙子
ladder	n.梯子,阶梯
lady	n.女士,夫人
lag	v./n.落后,滞后 vt.用隔热材料覆盖(锅炉等)
lake	n.湖泊，湖水
lamb	n.羔羊,小羊;羔羊肉
lame	a.跛的,(辩解、论据等)无说服力的
lamp	n.灯
land	n.陆地,土地,国家 v.(使)靠岸(登陆,降落)
landlady	n.女房东,女地主
landlord	n.房东,地主
lane	n.小路,小巷,行车道
language	n.语言,术语,(运用语言的)方式、风格
lantern	n.灯,灯笼
lap	n.大腿,(跑道的)一圈,一段路程,工作阶段
lapse	n.失误,流逝,丧失,下降 v.失效,偏离,流逝
laptop	n.膝上型电脑
large	a.大的,广大的,大规模的
largely	ad.主要地,基本上;大量地,大规模地
laser	n.激光
lash	v.鞭打,摆动,捆扎 n.鞭子,鞭打,睫毛,讽刺
last	a.最后的，刚过去的 ad.最后 n.最后 v.持续
late	a.迟的，晚的，晚期的；已故的 ad.迟，晚
lately	ad.最近,不久前
latent	a.潜在的,潜伏的,不易察觉的
later	ad.后来,过后
lateral	n.侧面的,旁边的
Latin	a.拉丁的,拉丁文的 n.拉丁语
latitude	n.纬度,行动或言论的自由(范围),(pl.)地区
latter	a.后者的；后一半的，接近终了的 n.后者
laugh	v.笑;(on)讥笑 n.笑,笑声
laughter	n.笑,笑声
launch	v.发射;使(船)下水,发动,开展 n.发射,下水
laundry	n.洗衣房(店);待洗衣物,所洗衣物
lavatory	n.厕所,盥洗室
law	n.法律,法规,法学,规律,定律
lawn	n.草地,草坪
lawyer	n.律师
lay	v.放，搁；下(蛋)；铺设，敷设；设置，布置
layer	n.层，层次；铺设者
layman	n.外行
layoff	n.临时解雇,操作停止,活动停止期间,失业期
layout	n.安排，布局，设计；规划图，布局图
lazy	a.懒惰的,懒散的
lead	v.领导;领先;通向,导致 n.带领,引导;铅


leadership	n.领导
leading	a.领导的,指导的;第一位的;最主要的
leaf	n.叶子;(书刊的)一页,一张;金属薄片
leaflet	n.小叶,嫩叶;传单,活页
league	n.同盟,联盟;联合会,社团
leak	v.漏,泄漏 n.漏洞,漏隙;泄漏,漏出
lean	v.倾斜,屈身;倚,靠,依赖 a.瘦的,无脂肪的
leap	v.跳,跳跃 n.跳跃,飞跃
learn	v.学习，学，学会；(of，about)听到，获悉
learned	a.博学的,有学问的
learning	n.知识,学问;学习
lease	vt.出租,租用 n.租借,租期,租赁物
least	a.最小的;最少的 ad.最小;最少
leather	n.皮革,皮革制品
leave	v.离开;留下,忘带;让,听任;交付n.许可;假期
lecture	n./v.演讲,讲课
left	n.左面，左方 a.左边的，左面的；在左方的
leg	n.腿，腿部；支柱；(旅程的)一段，一站
legacy	n.遗产，遗赠；先人(或过去)留下的东西
legal	a.法律的,法定的;合法的,正当的
legend	n.传说,传奇
legislation	n.法律(规)；立法，法律的制定(或通过)
legitimate	a.合法的；合理的，合乎逻辑的 vt.使合法
leisure	n.空闲,闲暇;悠闲,安逸
lemon	n.柠檬
lend	vt.借给,贷(款)
length	n.长,长度;一段,一节,程度,范围
lens	n.透镜,镜头
less	a./ad.更少的(地),更小的(地)
lesson	n.(功)课；[pl.]课程；教训
lest	conj.惟恐,免得
let	v.让，允许，听任；设，假设；出租，租给
letter	n.信,函件;字母,文字
level	n.水平，水准，等级 v.弄平，铺平 a.水平的
lever	n.杆,杠杆,手段,途径,工具
levy	n.征收,征税,征兵 v.征收,征集,征用
liability	n.责任,义务;(pl.)债务
liable	a.有...倾向的；可能遭受...的；有责任的
liberal	a.慷慨的,大方的;富足的;自由的,思想开放的
liberate	vt.解放,释放
liberty	n.自由，自由权；特权
librarian	n.图书管理员
library	n.图书馆;藏书室;藏书,丛书,文库
license	n.(licence)许可证,执照 v.准许,认可
lick	vt.舔；(火焰或浪)掠过；打败 n.舔；少量
lid	n.盖
lie	vi.躺，平放；处于；位于 v.说谎 n.谎话
life	n.生命，生存；一生，寿命；生活；生物
lifetime	n.一生,终生
lift	v.升起,举起,消散  n.电梯,上升,免费搭车
light	n.光；灯 v.点燃；照亮 a.轻(快)；淡；明亮
lightning	n.闪电 a.闪电般的,快速的
like	v.喜欢 prep.象；比如 a.相象的 n.象…一样
likelihood	n.可能性
likely	a.很可能的,有希望的 ad.大概,多半
likewise	ad.同样地,照样地;又,也,而且
limb	n.肢,翼,大树枝
limit	n.界限,限度,范围 v.(to)限制,限定
limitation	n.限制,局限性
limited	a.有限的,被限制的
limp	a.柔软的,易曲的 v./n.蹒跚,跛行
line	n.线;路线,航线;排;线路;界线 v.排队;加衬
linear	a.线的，直线的，线状的；长度的；线性的
linen	n.亚麻布,亚麻布制品
liner	n.班机,定期轮船,邮船
linger	v.逗留,徘徊,拖延,留恋,浪费光阴,苟延残喘
linguistic	a.语言的，语言学的
link	v.连接,联系 n.环节,链环
lion	n.狮子
lip	n.嘴唇
liquid	n.液体 a.液体的,液态的
liquor	n.酒；溶液，液剂
list	n.表,目录,名单 v.把…编列成表,列入表内
listen	vi.倾听(与介词to并用，方可置宾语)
literacy	n.有文化,有教养,有读写能力
literally	ad.照字面意义,逐字地;确实
literary	a.文学上的,文学的;精通文学的,从事写作的
literature	n.文学,文学作品,文献,图书资料,印刷品
litre	n.(liter)升；公升(容量单位)
litter	n.垃圾,(杂乱的)废物 v.使杂乱,乱丢
little	a.小，幼小；不多的 ad./n.不多，几乎没有
live	v.活着,生活,居住 a.活的,生动的,直播的
lively	a.活泼的,活跃的;栩栩如生的,真实的
liver	n.肝,肝脏
living	a.活的,有生命的,天然的,逼真的n.生活,生计
living-room	n.起居室
load	v.装(货),装载 n.装载(量),负荷(量);(一)担
loaf	n.一个面包
loan	n.贷款;出借,借出 v.借出
lobby	n.门廊,门厅,(会议)休息厅
local	a.地方的,当地的;局部的
locality	n.位置,地点
locate	v.查出,探出,查找…地点,使…坐落于,位于
location	n.位置,场所,定位,测位
lock	n.锁 v.锁,锁上
locker	n.更衣箱
locomotive	n.机车,火车头 a.运动的,移动的,运载的
lodge	v.临时住宿,寄宿,寄存,容纳n.传达室,小旅馆
lofty	a.崇高的，高尚的；高傲的；极高的
log	n.原木,圆木;航海日志
logic	n.逻辑,逻辑学
logical	a.逻辑的,符合逻辑的
lonely	a.孤独的，寂寞的；荒凉的，人迹稀少的
long	a.长的，长时间的，长期的 ad.长久，长期地
longitude	n.经度
look	vi./n.看，注视 v.好像，显得 n.外表，脸色
loom	n.织布机,织机 v.隐现,(危险、忧虑等)迫近
loop	n.圈,环
loose	a.(宽)松的；不精确的；自由的，散漫的
loosen	v.解开,放松
lord	n.(Lord)上帝,主;主人,长官,君主,贵族
lorry	n.卡车,运货汽车
lose	v.丢失,迷路,输掉,亏本,失败,走慢,使沉湎于
loss	n.丧失，遗失；损失，损耗，亏损；失败
lot	n.许多，大量；签，抽签；命运；场地
lottery	n.抽彩；碰运气的事，难于算计的事
loud	a.大声的,响亮的;吵闹的,喧嚣的
loudspeaker	n.扬声器,扩音器
lounge	n.休息室,起居室,客厅
love	n.爱，爱情，喜欢 vt.爱，热爱；爱好，喜欢
lovely	a.可爱的,好看的;令人愉快的,美好的
lover	n.爱好者;(pl.)情侣
low	a.低，矮；低级的，下层的，卑贱的；低声的
lower	a.较低的,下级的,下游的 v.降下,放低
loyal	a.(to)忠诚的,忠贞的
loyalty	n.忠诚,忠心
lubricate	v.润滑,加润滑油,行贿,收买
luck	n.运气;好运,侥幸
lucky	a.幸运的,侥幸的
luggage	n.行李,皮箱
lumber	n.木材,木料
lump	n.团,块 v.(使)成团,(使)成块
lunar	a.月亮的
lunch	n.午餐，(美)便餐
lung	n.肺
lure	n.吸引力,魅力,诱惑物 vt.引诱，吸引
luxury	n.奢侈,华贵;奢侈品 a.奢华的,豪华的
machine	n.机器,机械 v.用机器加工
machinery	n.(总称)机器,机械
mad	a.发疯的;狂热的,着迷的;恼火的,生气的
madame	n.(madam)夫人，太太，女士
magazine	n.杂志,期刊
magic	n.魔术,魔(魅)力,巫术 a.有魔力的,魔术的
magistrate	n.地方行政官，地方法官，治安官
magnet	n.磁体,磁铁
magnetic	a.磁的,有磁性的;有吸引力的
magnificent	a.华丽的,高尚的,宏伟的
magnify	vt.放大,扩大,夸大,夸张
magnitude	n.大小,数量;巨大,广大
maid	n.少女,处女,女仆
maiden	n.少女,处女 a.未婚的,纯洁的,无经验的
mail	n.邮件 v.邮寄
main	a.主要的,总的 n.总管道;干线
mainland	n.大陆,本土
maintain	v.维修,保养,维持,供养,坚持,主张,支持
maintenance	n.维修,保养,维持,保持,生活费用
majesty	n.雄伟,壮丽,庄严,威严;最高权威,王权
major	a.主要的n.成年人,专业学生,主修课程v.主修
majority	n.多数,大多数,成年,法定年龄
make	n.(产品)来源，制法 vt.制造，做成，准备
male	n./a.男性(的),雄性(的)
malignant	a.恶性的，致命的；恶意的，恶毒的
mammal	n.哺乳动物
man	n.(pl.men)人；人类(单数，不加冠词)；男人
manage	v.经营,管理,处理;设法,对付;操纵,运用
management	n.经营,管理;处理,操纵;管理部门
manager	n.经理,管理人
maneuver	n.(manoeuvre)机动;运用,操作; v.机动
manifest	v.表明,证明,显示 a.明白的,明了的
manipulate	vt.(熟练地)使用，操作；(巧妙地)处理
mankind	n.人类
manner	n.方式;举止;(pl.)风度,礼貌;规矩;风俗
manual	a.手的,手工做的,体力的 n.手册,指南
manufacture	v.制造,加工 n.制造,制造业;产品
manuscript	n.手稿,原稿
many	a.许多的，多的 pron.许多人或物，许多
map	n.地图,图 vt.在地图上标示出,绘制地图
marble	n.大理石,云石
march	v.(使)行军,(使)行进 n.行军,行程
March	n.三月(略作 Mar.)
margin	n.页边空白;边缘;余地;幅度
marginal	a.记在页边的,旁注的;(意识)边缘的
marine	a.海的,海生的;船舶的,航海的
marital	a.婚姻的,夫妻之间的
mark	n.痕迹;记号;分数 v.标记,打分,使有特色
market	n.集市,市场;销路,需求(量) v.销售
marriage	n.结婚,婚姻;结婚仪式
married	a.已婚的,夫妇的;(to)与…结婚的
marry	v.结婚,嫁,娶
marvelous	a.(marvellous)惊人的,奇迹般的,妙极的
Marxist	a.马克思主义的 n.马克思主义者
masculine	a.男性的，似男性的；［语法］阳性的
mask	n.面具,面罩;假面具,伪装 v. 掩饰,化装
mass	n.大量,众多;团,块;(pl.)群众,民众;质量
massacre	vt.残杀,集体屠杀 n.残杀,大屠杀
massive	a.大而重的,厚实的,粗大的;大规模的,大量的
master	n.男主人;师傅;硕士 v.精通,控制 a.主要的
masterpiece	n.杰作,名著
mat	n.席子,垫子
match	n.火柴;比赛,竞赛;对手,配偶 v.匹配,相称
mate	n.伙伴,同事,同伴,配偶 v. 结伴,配对,交配
material	n.材料,原料,资料a.物质的,肉体的,实质性的
mathematical	a.数学的；数学上的
maths	n.(mathematics/math)数学
matter	n.物质,物体;毛病,麻烦;事情 v.有关系,要紧
mature	a.成熟的,熟的;成年人的 v.(使)成熟
maximum	n.最大值,极限 a.最大的,最高的
may	aux.v.可能，也许；可以，被允许；祝，愿
May	n.五月
maybe	adv.可能；大概；也许
mayor	n.市长
me	pron.[I 的宾格]我
meadow	n.草地,牧场
meal	n.膳食,一餐
mean	v.表示…的意思 a.卑鄙的;平均的n.平均值
meaning	n.意思,意义,含义;重要性,价值
means	n.方法,手段
meantime	n.(meanwhile)其间,其时 ad.同时,当时
meanwhile	n.其时，其间 ad.当时，与此同时
measure	v.测量,分派,权衡 n.尺寸,量度器,措施,办法
meat	n.(食用)肉类
mechanic	n.技工,机修工
mechanical	a.机械的,由机构制成的;机械似的,呆板的
mechanism	n.机械装置,机构;机制
medal	n.奖章,勋章,纪念章
medical	a.医学的，医疗的，医药的；内科的
medicine	n.内服药,医药;医术;医学,内科学
medieval	a.中世纪的,中古(时代)的,老式的,原始的
meditate	v.想,考虑,(尤指宗教上的)沉思,冥想
meditation	n.熟虑;(尤指宗教的)默想,沉思;(pl.)冥想录
medium	n.(pl.media)媒体,方法,媒介,介质 a.中等的
meet	n.会,集会 v.遇见;会谈;迎接;满足;符合
meeting	n.会议,集合,汇合,会见,接见,汇合点
melody	n.旋律，曲调；悦耳的音乐
melon	n.甜瓜
melt	v.(使)融化,(使)熔化
member	n.成员,会员
membership	n.会员资格,成员资格
memo	n.(memorandum)备忘录
memorial	a.记忆的,纪念的 n.纪念物,纪念碑,纪念馆
memory	n.记忆,记忆力;回忆;存储(器)
menace	vt./n.有危险性的人(或物)；威胁，威吓
mend	v.修理,缝补;改正,改进
mental	a.精神的,思想的,心理的,智力的,脑力的
mention	v./n.提及,说起
menu	n.菜单
merchandise	n.商品,货物
merchant	n.商人,零售商
mercury	n.水银,汞
mercy	n.仁慈,怜悯,宽恕


mere	a.纯粹的;仅仅,只不过
merely	adv.仅仅，只不过
merge	v.(使)结合，(使)合并，(使)合为一体
merit	n.优点,价值,功绩 v.值得,应得
merry	a.欢乐的,愉快的
mess	n.混乱,混杂,脏乱 v.弄脏,弄乱,搞糟
message	n.消息,信息,通讯,启示,教训,广告词,预言
messenger	n.送信者,使者,传令兵
metal	n.金属,金属制品
metaphor	n.隐喻，暗喻
method	n.方法,办法
metre	n.(meter)米，公尺；仪表，计量器
metric	a.米制的,公制的
metropolitan	a.首都的,主要都市的,大城市
microphone	n.话筒,扩音器
microscope	n.显微镜
middle	n./a.中间(的),当中(的)
midst	n.中间,当中
might	aux.v.可能,也许 n.力量,威力,权力
migrate	v.迁移,移居(国外)
mild	a.温和的,轻微的,味淡的,不含有害物质的的
mile	n.英里，哩，海里
militant	a.好战的，富于战斗性的 n.斗士
military	a.军事的,军用的,军队的
milk	n.牛奶；(植物流出的)白色乳液 v.挤奶
mill	n.磨粉机,磨坊;作坊,工厂
millimeter	n.(millimetre)毫米
million	num./n.百万,百万个
millionaire	n.百万富翁
mind	n.精神,理智,意见,记忆力v.注意,介意,反对
mine	pron.(I的物主代词)我的(东西)n.矿 v.采矿
mineral	n.矿物,矿石 a.矿物的,矿质的
mingle	v.(使)混合
miniature	n.缩小的模型,缩图 a.微型的,缩小的
minimize	v.(minimize)使减少到最少,使降到最低
minimum	n.最小值,最低限度 a.最小的,最低的
minister	n.部长,大臣
ministry	n.(政府的)部;牧师
minor	a.较小的,较小的 n.兼修学科 v.(in)兼修
minority	n.少数,少数派,少数民族
minus	a.负的,减的 prep.减去 n.负号,减号
minute	n.分钟,片刻;(pl.)会议记录 a.微小的
miracle	n.奇迹,令人惊奇的人(或事)
mirror	n.镜子;反映,反射 v.反映,反射
mischief	n.损害,伤害,危害;恶作剧,胡闹;灾祸
miserable	a.痛苦的,悲惨的
misery	n.痛苦,悲惨,不幸
misfortune	n.不幸,灾祸,灾难
mislead	v.把…带错路,使误入岐途
miss	n.小姐 v. 思念,未击中,错过,漏掉,逃脱
missile	n.导弹,发射物
missing	a.漏掉的,失去的,失踪的
mission	n.使命,任务;使团,代表团
missionary	a.教会的，传教(士)的 n.传教士
mist	n.薄雾,霭
mistake	n.错误,过失,误解 v.弄错;(for)把…误认为
mistress	n.女主人;主妇;情妇,情人
misunderstand	v.误解,误会
mix	v.使混合;混淆
mixture	n.混合;混合物,混合剂
moan	n.呻吟声,悲叹声 v.呻吟,抱怨,悲叹
mob	n.乌合之众(尤指暴力者) vi.围攻，聚众闹事
mobile	a.可动的,活动的,运动的
mobilize	v.(mobilise)动员,赋予可动性
mock	v.嘲笑 a.假的,模拟的 n.(常pl.)模拟考试
mode	n.方式,式样
model	n.样式,型;模范;模型,原型;模特 v.模仿
moderate	a.有节制的,中等的,适度的,温和的,稳健的
modern	a.现代的,近代的,新式的
modernization	n.(modernisation)现代化
modest	a.谦虚的,有节制的
modify	v.更改,修改,修饰
module	n.组件，模块，模件；(航天器的)舱
moist	a.潮湿的,湿润的,多雨的
moisture	n.潮湿,湿气,湿度
molecule	n.分子
moment	n.片刻,瞬间,时刻
momentum	n.动力,要素
monarch	n.帝王，君主，最高统治者
Monday	n.星期一
monetary	a.金融的,货币的
money	n.货币,钱
monitor	n.班长;监听器,监视器 v.监控,监测
monkey	n.猴子
monopoly	n.垄断,专卖,专利权,专利事业
monotonous	a.单调的,无变化的
monster	n.怪物,妖怪,畸形的动植物
month	n.月,月份
monthly	a.每月的 ad.每月一次,按月 n.月刊
monument	n.纪念碑,纪念馆,遗迹,不朽的业绩
mood	n.心情,情绪;语气
moon	n.(加the)月球，月亮；卫星
moral	a.道德(上)的,精神上的 n.寓意,教育意义
morality	n.道德,美德
more	a.更多的 n.更多的人(或东西) ad.更，更多
moreover	conj./ad.再者,加之,而且
morning	n.早晨，上午
mortal	a.致命的;终有一死的;人世间的 n.凡人
mortgage	n./v.抵押(借款)
mosaic	n.马赛克;镶嵌体
mosquito	n.蚊子
moss	n.苔,藓,地衣
most	a.最多的；大多数的 ad.最；极其 n.大多数
mostly	ad.几乎全部地;主要地,大部分,基本上
motel	n.(附有停车场的)汽车旅馆
mother	n.母亲
motion	n.运动,动;提议,动议 v.提议,动议
motivate	vt.促动；激励，鼓励，作为…的动机
motive	n.动机,目的 a.发动的,运动的
motor	n.发动机,电动机
mould	n.(mold)模子，铸型 v.浇铸，造型，塑造
mount	v.登上;安装n.支架,底板;(用于山名前)山峰
mountain	n.山
mourn	v.哀悼,忧伤
mouse	n.(pl.mice)鼠,耗子
mouth	n.口,嘴
move	v.移动,迁移;活动;感动 n.移动,活动,行动
movement	n.运动,活动;移动,迁移
movie	n.电影,电影院
much	a.多的，大量的 ad.十分，非常；到极大程度
mud	n.泥，泥浆 v.弄脏，使沾污泥
mug	n.(有柄的)大茶杯
multiple	a.多样的,多重的 n.倍数 v.成倍增加
multiply	v.(by)乘,使相乘;倍增,增加,繁殖
multitude	n.众多,大量
municipal	a.市(立,政)的;地方性的,地方自治的
murder	v./n.谋杀,凶杀
murmur	v./n.小声说(话);小声抱怨,咕哝
muscle	n.肌肉,体力
muscular	a.肌肉的;肌肉发达的;强健的
museum	n.博物馆,展览馆
mushroom	n.蘑菇 vt.迅速生长,迅速增加,采蘑菇
music	n.音乐，乐曲，乐谱
musical	a.音乐的;有音乐才能的 n.音乐片
musician	n.音乐家,乐师
must	aux.&v.必须；很可能；一定要 n.必须做的事
mute	a.哑的,缄默的n.哑巴;弱音器v.减弱…的声音
mutter	n.喃喃而语,小声低语;抱怨 v.低声说,抱怨
mutton	n.羊肉
mutual	a.相互的，彼此的；共同的，共有的
my	pron.(I的所有格)我的
myself	pron.[反身代词]我自己；我亲自
mysterious	a.神秘的,可疑的,难理解的
mystery	n.神秘,神秘的事物;神秘小说,侦探小说
myth	n.神话;虚构的理论
nail	n.指甲,爪;钉 v.将…钉牢,钉住
naive	a.天真的
naked	a.裸体的,无遮敝的,无掩饰的
name	n.名字(称/声/义) vt.给…取名；列举；提名
namely	ad.即,也就是
nap	n.小睡,打盹
napkin	n.餐巾,餐巾纸,<英>尿布
narrative	a.叙述性的 n.叙述
narrow	a.狭窄的,狭的,狭隘的
nasty	a.肮脏的,卑劣的,下流的;令人厌恶的
nation	n.民族,国家
national	a.民族的,国家的,国立的
nationality	n.国籍,民族
native	a.本地的,本国的;天生的 n.本地人,本国人
natural	a.正常的;自然界的,天然的,天赋的,固有的
nature	n.自然界,大自然;性质,本性,天性
naughty	a.顽皮的,淘气的
naval	n.海军的,军舰的
navigation	n.航海,航空;导航,领航
navy	n.海军
near	a.近的，接近的；亲近的 prep.靠近 ad.接近
nearby	a.附近的 ad.在附近 prep.在…附近
nearly	ad.差不多,几乎
neat	a.整洁的,干净的,优美的,精致的
necessary	a.必需的,必要的;必然的 n.必需品
necessitate	v.使成为必要,需要
necessity	n.必要性,需要;必然性;(pl.)必需品
neck	n.颈脖
necklace	n.项链，项圈
need	aux.v./v.需要；必须 n.需要；贫困，困窘
needle	n.针,指针,针状物
negative	a.否定的,消极的,阴性的n.负数;(摄影)底片
neglect	v./n.忽视;疏忽,漏做,忽略
negligible	a.可忽略不计的，微不足道的
negotiate	v.商订；谈判，洽谈，交涉
Negro	n.黑人 a.黑人的
neighbor	n.(neighbour)邻居
neighborhood	n.(neighbourhood)邻居;四邻,街道
neither	a.两者都不 pron.两者都不 ad.也不
nephew	n.侄子,外甥
nerve	n.神经;勇敢,胆量
nervous	a.神经的;神经过敏的,紧张不安的
nest	n.窝,巢 v.筑巢
net	n.网,网状物 v.用网捕,使落网 a.纯净的
network	n.网状物;广播网,电视网;网络
neutral	a.中立的;中性的,中和的
never	ad.永不，从不，决不；从来没有；不，没有
nevertheless	conj.(nonetheless)然而,不过ad.仍然,不过
new	a.新(近)的；新来的；不熟悉的；没经验的
news	n.新闻，消息；新闻报道，新闻广播
newspaper	n.报纸
next	a.紧接的，其次的；贴近的 ad.其次；居后
nice	a.美好的，令人愉快的；友好的，亲切的
nickel	n.镍;镍币;五美分
nickname	n.绰号，浑名vt.给…起绰号
niece	n.侄女,甥女
night	n.夜间；夜；晚(上)
nightmare	n.恶梦；可怕的事物，无法摆脱的恐惧
nine	num.九 pron./ad.九(个，只...)
nineteen	num./a.十九 pron.十九(个，只...)
ninety	num.九十，九十个
nitrogen	n.[化]氮
no	ad.不是，不 a.没有的；不允许 n.不，拒绝
